"","badbad"
"2765","birthday bash"
"2766","soooo boring"
"2767","tu sore"
"2768","sweetie sorry"
"2769","sweet bitter"
"2770","gotten worse"
"2771","False alarm"
"2772","internet slow"
"2773","thats horrible"
"2774","Aww poor"
"2775"," lost"
"2776","held hostage"
"2777","hot damn"
"2778","ugh ugh"
"2779","co cold"
"2780","face hurts"
"2781","Good grief"
"2782","hate hate"
"2783","wit wrong"
"2784","boy poor"
"2785","asleep fallen"
"2786","feeling bad"
"2787","Hay fever"
"2788","super slow"
"2789","Carradine died"
"2790","i doom"
"2791","doo impending"
"2792","glands swollen"
"2793","sooo sorry"
"2794","kinda disappointed"
"2795","su hate"
"2796","boo hiss"
"2797","tired freaking"
"2798","degree burns"
"2799","condition critical"
"2800","freaking tired"
"2801","hot freaking"
"2802","coz sad"
"2803","leg broken"
"2804","dying slowly"
"2805","slowly dying"
"2806","Its hard"
"2807","rain hate"
"2808","Sooooo tired"
"2809","weather gloomy"
"2810","keeps failing"
"2811","head aches"
"2812","pixel dead"
"2813","extre bored"
"2814","knees hurt"
"2815","health problems"
"2816","cervical cancer"
"2817","found dead"
"2818","possible worst"
"2819","wanna hang"
"2820","everything ruin"
"2821","sounds awful"
"2822","wreck nervous"
"2823","nervous wreck"
"2824","officially hate"
"2825","Potter sucks"
"2826","way hard"
"2827","kinda bored"
"2828","thats terrible"
"2829","slight fever"
"2830","wee poor"
"2831","hot boiling"
"2832","I scared"
"2833","alar false"
"2834","false alarm"
"2835","clouds dark"
"2836","too bad"
"2837","exa stupid"
"2838","1Ill miss"
"2839","exceeded limit"
"2840","life hate"
"2841","two lost"
"2842","soo hurts"
"2843","Watching sad"
"2844","dude sorry"
"2845","so wrong"
"2846","How depressing"
"2847","slight headache"
"2848","Feel bad"
"2849","soo sick"
"2850"," annoying"
"2851","tu bad"
"2852"," crash"
"2853","sounds painful"
"2854","al died"
"2855","kinda mad"
"2856","cat died"
"2857","child sick"
"2858","growing pains"
"2859","dad died"
"2860","reason strange"
"2861","shoulders hurt"
"2862"," hate"
"2863","guinea pigs"
"2864","Traffic jam"
"2865"," hate"
"2866","who lost"
"2867","pretty upset"
"2868","needles hate"
"2869","In pain"
"2870","withdrawl symptoms"
"2871","case bad"
"2872","SO tired"
"2873","ass dumb"
"2874","toe hurts"
"2875"," junk"
"2876","jaw hurts"
"2877","pain excruciating"
"2878","cry cry"
"2879","excruciating pain"
"2880","hole hell"
"2881","soo hard"
"2882","news terrible"
"2883","cry cry"
"2884","hell hole"
"2885"," crappy"
"2886","occurred error"
"2887","drea scary"
"2888","potatoes mashed"
"2889","outta shit"
"2890","goodbyes hate"
"2891","cough nasty"
"2892","e wreck"
"2893","ass suck"
"2894","hon sorry"
"2895","shakes fist"
"2896","Cant fall"
"2897","knee injury"
"2898","degree fever"
"2899","gona miss"
"2900","super bad"
"2901","sunburn bad"
"2902","thats awful"
"2903","Ho sick"
"2904","shitless scared"
"2905","pretty hard"
"2906","luck worst"
"2907","tired damn"
"2908","SO jealous"
"2909","real hard"
"2910","Feeling sad"
"2911","e drained"
"2912","weird noises"
"2913","noises weird"
"2914","feet sore"
"2915","everything ruins"
"2916","ive missed"
"2917","hospitals hate"
"2918","Very upset"
"2919","bout worried"
"2920","viral infection"
"2921","dancing miss"
"2922","Mountain sucked"
"2923","throat sore"
"2924","soooo slow"
"2925","near damn"
"2926","rate limit"
"2927","Another boring"
"2928","breathing trouble"
"2929","train wreck"
"2930","sto hurts"
"2931","body hates"
"2932","rainy hate"
"2933","kinda boring"
"2934","little sick"
"2935","Code sucks"
"2936","bored fucking"
"2937","heart breaks"
"2938","hair bad"
"2939","Jay miss"
"2940","pretty funny"
"2941","drea weird"
"2942","terribly sad"
"2943","who stole"
"2944"," disgusting"
"2945","technical problems"
"2946","cold stupid"
"2947","ass stupid"
"2948","pretty badly"
"2949","daily grind"
"2950","Dougie beg"
"2951","Boo hiss"
"2952","soooooo bored"
"2953","went downhill"
"2954","sake fuck"
"2955","Sto hurts"
"2956","cat poor"
"2957"," suck"
"2958","headache throbbing"
"2959","laptop died"
"2960","throat scratchy"
"2961","pretty damn"
"2962","person horrible"
"2963","sto bad"
"2964","throbbing headache"
"2965","sick poorly"
"2966","poorly sick"
"2967","fish tank"
"2968","weather stormy"
"2969","oak poison"
"2970","spelling mistakes"
"2971","code sucks"
"2972","doggy poor"
"2973","sooooo bored"
"2974","Really tired"
"2975","stop bleeding"
"2976","winter hate"
"2977","sto aches"
"2978","Super tired"
"2979","cold nasty"
"2980","nasty cold"
"2981","spells dizzy"
"2982","sally sour"
"2983","skin cancer"
"2984","load shit"
"2985","thu hurts"
"2986","choice bad"
"2987","toll death"
"2988","death toll"
"2989","aww sorry"
"2990","party pity"
"2991","co suicide"
"2992","Super sad"
"2993","cold damn"
"2994","everyti cry"
"2995","sooo slow"
"2996","honey sorry"
"2997"," difficult"
"2998","finding trouble"
"2999","betty ugly"
"3000","chest pain"
"3001","bb poor"
"3002","You suck"
"3003","Bloody hell"
"3004","incredibly bored"
"3005","survivor died"
"3006","Really bad"
"3007","it hurts"
"3008","weekend boring"
"3009","church missed"
"3010"," breakdown"
"3011","these miss"
"3012","each missed"
"3013","person wrong"
"3014","so sad"
"3015","hearing miss"
"3016","incredibly sad"
"3017","code sucked"
"3018","way wrong"
"3019","stor hate"
"3020"," cry"
"3021","Very sorry"
"3022","cold bloody"
"3023","co stupid"
"3024","Killer headache"
"3025","totally failed"
"3026","bloody cold"
"3027","awwww poor"
"3028","SO sorry"
"3029","keep falling"
"3030","nose hurts"
"3031","disk hard"
"3032","In desperate"
"3033","soo cold"
"3034","i cry"
"3035","happened hell"
"3036","al killed"
"3037"," horrible"
"3038","faces sad"
"3039","slightly depressed"
"3040","biggest fear"
"3041","goes alarm"
"3042","reportedly gravely"
"3043","Metro crash"
"3044","busy crazy"
"3045","hayfever bad"
"3046","driving hate"
"3047","stir crazy"
"3048","character limit"
"3049","felt guilty"
"3050","doing stuck"
"3051","phone stupid"
"3052","worlds worst"
"3053","finals hate"
"3054","real shame"
"3055","uploading trouble"
"3056","heart hurt"
"3057","ve fallen"
"3058","celtics lost"
"3059","leaving hate"
"3060","song sad"
"3061","interest lost"
"3062"," worse"
"3063"," painful"
"3064","june gloom"
"3065","France tragedy"
"3066","del mar"
"3067","slow painfully"
"3068","kid fat"
"3069","painfully slow"
"3070","wanna die"
"3071","colon cancer"
"3072","bb sorry"
"3073","Sun burn"
"3074","bee bumble"
"3075","related stress"
"3076","person bad"
"3077","kinda upset"
"3078","girl silly"
"3079","through suffer"
"3080","phones dead"
"3081","He died"
"3082","headaches suck"
"3083","suck headaches"
"3084","ya missed"
"3085","weather stupid"
"3086","co dead"
"3087","Nuggets lost"
"3088","internet stupid"
"3089","goes wrong"
"3090","SO bored"
"3091","shape bad"
"3092","sto pain"
"3093"," loud"
"3094","thats bad"
"3095","headache nasty"
"3096","glass broken"
"3097","strongly dislike"
"3098","crea sour"
"3099","Car broke"
"3100","sharp pain"
"3101","cabin fever"
"3102","nasty headache"
"3103"," horrible"
"3104","fawcett died"
"3105"," hate"
"3106","soooo cold"
"3107","stinking cold"
"3108","i hate"
"3109","life hating"
"3110","shall miss"
"3111","hayfever hate"
"3112","neck sore"
"3113","hi killed"
"3114","bein sick"
"3115","weather horrible"
"3116","Too lazy"
"3117","kidney failure"
"3118","distinct lack"
"3119","pretty tired"
"3120","bird dead"
"3121","ass bomb"
"3122","la lame"
"3123","plans fell"
"3124","RIP died"
"3125","everyone hates"
"3126","hairline fracture"
"3127","shit fucking"
"3128","la lame"
"3129","protein shake"
"3130","seeing missed"
"3131","allergies hate"
"3132","having hates"
"3133","nights worst"
"3134","inso hate"
"3135","How embarrassing"
"3136","hurts fucking"
"3137","sooo hard"
"3138","youuuuu miss"
"3139","yall miss"
"3140","error unknown"
"3141","worst enemy"
"3142","ene worst"
"3143","error fatal"
"3144","unknown error"
"3145","headaches hate"
"3146","fatal error"
"3147","sooo badly"
"3148","followers lose"
"3149","reason odd"
"3150","Sundays hate"
"3151","add insult"
"3152","soooooo bad"
"3153","Still tired"
"3154","deer dead"
"3155","server error"
"3156","soooo sore"
"3157","sharp pains"
"3158","outside dark"
"3159","cold freaking"
"3160","weather severe"
"3161","freaking cold"
"3162","link broken"
"3163","feeling sinking"
"3164","bones broken"
"3165","kinda hard"
"3166","baby dead"
"3167","Oh damn"
"3168","calls missed"
"3169","ass sucked"
"3170","Inso sucks"
"3171","pills pain"
"3172","hour delay"
"3173","Its cold"
"3174","body ache"
"3175","drives hard"
"3176","playing miss"
"3177","funny noises"
"3178","tu bug"
"3179","soooooooo bored"
"3180","ca broke"
"3181","kinda scared"
"3182","gunna fail"
"3183","freakin tired"
"3184","ani poor"
"3185","LA miss"
"3186","cra bad"
"3187","sounds terrible"
"3188"," error"
"3189","cigarette smoke"
"3190","totally jealous"
"3191","gonna explode"
"3192","plane crashes"
"3193","so suck"
"3194","API limit"
"3195","eating disorder"
"3196","want desperately"
"3197"," broke"
"3198","Really disappointed"
"3199","pretty awful"
"3200","soooo hurts"
"3201","aunt died"
"3202","drea scariest"
"3203"," sucks"
"3204","nose bloody"
"3205","gunna cry"
"3206","ill gravely"
"3207","co froze"
"3208","hands hurt"
"3209","hangover worst"
"3210","news horrible"
"3211","kinda depressed"
"3212","total loss"
"3213","direction wrong"
"3214","epic failure"
"3215","bladder infection"
"3216","hot ridiculously"
"3217","hugs sorry"
"3218","living miss"
"3219","finally died"
"3220","Having problems"
"3221","pretty scary"
"3222","batteries died"
"3223","everything hurts"
"3224","looks awful"
"3225","totally suck"
"3226","tu pains"
"3227","pretty sick"
"3228","news tragic"
"3229","feels sad"
"3230","Feeling sick"
"3231","SO hard"
"3232","ups break"
"3233","black cloud"
"3234","track lost"
"3235","buyers remorse"
"3236","gonna lose"
"3237","tan fake"
"3238","bday bash"
"3239","yoghurt frozen"
"3240","ipod died"
"3241","super lame"
"3242","absolutely awful"
"3243","awww sorry"
"3244","girl sorry"
"3245","soooo sick"
"3246","asleep fall"
"3247","Ear infections"
"3248","soo badly"
"3249","Throat hurts"
"3250","Ah crap"
"3251"," allergy"
"3252","weather humid"
"3253","shut swollen"
"3254","soo sorry"
"3255","Spring break"
"3256","totally ruined"
"3257","Has headache"
"3258","quite depressing"
"3259","revision hate"
"3260","I afraid"
"3261","size wrong"
"3262","Very disappointing"
"3263","season allergy"
"3264","sooo mad"
"3265","ass wack"
"3266"," worst"
"3267","lucky bitch"
"3268","neck hurt"
"3269","soooo jealous"
"3270","breakdown nervous"
"3271","drea terrible"
"3272","nervous breakdown"
"3273","Still stuck"
"3274","suck allergies"
"3275","allergies suck"
"3276","Mondays suck"
"3277","keeps breaking"
"3278","bone funny"
"3279","spiders hate"
"3280","attacks anxiety"
"3281","anxiety attacks"
"3282","blood blister"
"3283","hangover bad"
"3284","how sad"
"3285","pearl jam"
"3286","ass crazy"
"3287","feeling horrible"
"3288","Fucking hell"
"3289","Blah blah"
"3290","huge bruise"
"3291","train crash"
"3292","near impossible"
"3293","news breaking"
"3294","headache stupid"
"3295","co waste"
"3296","kinda lame"
"3297","Conan missed"
"3298","exa suck"
"3299","rob poor"
"3300","second split"
"3301","water cold"
"3302","question wrong"
"3303","saying hate"
"3304","kinda hurts"
"3305","reason unknown"
"3306","serious pain"
"3307","crap crap"
"3308","quite upset"
"3309","Even worse"
"3310","keep crashing"
"3311"," worst"
"3312","co idiot"
"3313","sooo annoying"
"3314","so sad"
"3315","crap crap"
"3316","co headache"
"3317","co missed"
"3318","sinus headaches"
"3319","Really sorry"
"3320","co died"
"3321","roo dark"
"3322","asleep fall"
"3323","cover cloud"
"3324","kinda tired"
"3325","gna miss"
"3326","bc sad"
"3327","Which sucks"
"3328","Feeling guilty"
"3329","deathly afraid"
"3330","water damage"
"3331"," awful"
"3332","raining hard"
"3333","electric shock"
"3334","hella tired"
"3335","flight delay"
"3336","Feeling lonely"
"3337","pretty lonely"
"3338","sooooooo tired"
"3339","cold fucking"
"3340","thunder loud"
"3341","al fell"
"3342","allergies stupid"
"3343","Pens lost"
"3344","pretty disappointing"
"3345","screen cracked"
"3346","place wrong"
"3347"," slow"
"3348"," hate"
"3349","It smells"
"3350","Sunburn hurts"
"3351","toe broken"
"3352","history hate"
"3353","self pity"
"3354","I jealous"
"3355","night horrible"
"3356","eater picky"
"3357","power lost"
"3358","horrible nightmare"
"3359","heat exhaustion"
"3360","Worst headache"
"3361","So wrong"
"3362","seriously hate"
"3363"," weird"
"3364","balls sucked"
"3365","sore cold"
"3366","happy belated"
"3367"," die"
"3368","cra worst"
"3369","sucked balls"
"3370","leg cramp"
"3371","soooo sorry"
"3372","kinda worried"
"3373","bigti sucks"
"3374","They hurt"
"3375","gonna hurt"
"3376","Chest pains"
"3377","flulike symptoms"
"3378","soooooo sad"
"3379","ca died"
"3380","Still sad"
"3381","screen cracked"
"3382","it sucks"
"3383","Soo sad"
"3384","canker sore"
"3385","bill kill"
"3386","So wrong"
"3387","week stressful"
"3388","anything wrong"
"3389","brain dead"
"3390","hella sick"
"3391","I worried"
"3392","should hang"
"3393","Twitter hates"
"3394","sooo upset"
"3395","extre difficult"
"3396","drea awful"
"3397","H1N1 virus"
"3398","keep biting"
"3399","draft rough"
"3400","Really bored"
"3401","squirrel dead"
"3402","ti worst"
"3403","lip fat"
"3404","drea scary"
"3405","ti worse"
"3406","bladder gall"
"3407","respiratory infection"
"3408","decision hard"
"3409"," allergy"
"3410","kinda sucked"
"3411","kept crashing"
"3412","stop falling"
"3413","pretty bored"
"3414"," miss"
"3415","due delayed"
"3416","word limit"
"3417","How disappointing"
"3418","keeps falling"
"3419","cycle vicious"
"3420","physically sick"
"3421","soooo badly"
"3422","weather miserable"
"3423","bee sting"
"3424"," zombie"
"3425","oclock stupid"
"3426","Major headache"
"3427","sounds horrible"
"3428","REALLY bad"
"3429","songs sad"
"3430","outside cloudy"
"3431","i miss"
"3432","co lost"
"3433","super boring"
"3434","sooooo slow"
"3435","gunna suck"
"3436","Knee hurts"
"3437","eyes sting"
"3438","keep dying"
"3439","ha died"
"3440","extre slow"
"3441","flying hate"
"3442","studying hate"
"3443","flu bug"
"3444","pretty slow"
"3445","lip hurts"
"3446","thu headache"
"3447","Fuck fuck"
"3448","fuckin tired"
"3449","funerals hate"
"3450","everything lost"
"3451","disappointed sorely"
"3452","hurts burn"
"3453","grandfather died"
"3454","early mad"
"3455","burn hurts"
"3456","sorely disappointed"
"3457","ankle swollen"
"3458","week rough"
"3459","Very annoying"
"3460","alot hurts"
"3461","sooo sore"
"3462","Aw crap"
"3463","abdo pain"
"3464","I mad"
"3465","Feels bad"
"3466","hella bored"
"3467","ribs hurt"
"3468","Very frustrating"
"3469","acting funny"
"3470","bags douche"
"3471","side hurts"
"3472"," hurt"
"3473","a ridiculous"
"3474","baby sorry"
"3475"," poor"
"3476","laptop crashed"
"3477","Getting sick"
"3478","Rain delay"
"3479","It breaks"
"3480","fail fail"
"3481","disposal garbage"
"3482","cos sad"
"3483","egg scrambled"
"3484","Everything hurts"
"3485","half missed"
"3486","co drained"
"3487","Huge headache"
"3488","quite terribly"
"3489","donkey sucks"
"3490","Ouch hurts"
"3491","us hates"
"3492","road rage"
"3493","aweso fucking"
"3494","fail fail"
"3495","10x worse"
"3496","soo sore"
"3497","kitty dead"
"3498","strange noises"
"3499","noises strange"
"3500","fair mar"
"3501","lungs hurt"
"3502","real hurts"
"3503","Today sucks"
"3504","everything ruined"
"3505","induced headache"
"3506","pretty lame"
"3507","Weather sucks"
"3508","pancreatic cancer"
"3509","asleep fall"
"3510"," cry"
"3511","technical issues"
"3512","farrah rip"
"3513","reset hard"
"3514","quite disappointed"
"3515","eyes burn"
"3516","sunburn painful"
"3517","tastes funny"
"3518","respitory infection"
"3519","eyes itch"
"3520","hot bloody"
"3521","looks horrible"
"3522","thunderstor hate"
"3523","gas tank"
"3524","This headache"
"3525","loss tragic"
"3526","tragic loss"
"3527","Rate limit"
"3528","hot fucking"
"3529","Bad headache"
"3530","week bad"
"3531","follow limit"
"3532","bed death"
"3533","voter apathy"
"3534","tycoon rollercoaster"
"3535","started bleeding"
"3536","surely miss"
"3537","open wound"
"3538","bored damn"
"3539","sto sore"
"3540","Totally bored"
"3541","totally messed"
"3542","Feels sick"
"3543","eyes sore"
"3544","aw poor"
"3545","cannot fall"
"3546","Nothing worse"
"3547","started hurting"
"3548","drea weird"
"3549","telephone pole"
"3550","feels terrible"
"3551"," miss"
"3552","stop biting"
"3553","sto worst"
"3554","sunglasses broke"
"3555","popcorn myth"
"3556","water leak"
"3557","turkey cold"
"3558","Technical difficulties"
"3559","such bad"
"3560","fighting hate"
"3561","greatly missed"
"3562","econo sucks"
"3563","headache headache"
"3564","gets sick"
"3565","frying pan"
"3566","yawn yawn"
"3567","France disaster"
"3568","easter break"
"3569","quite boring"
"3570","fishy died"
"3571","How tragic"
"3572","battle losing"
"3573","news shocking"
"3574","see impossible"
"3575","sinus infections"
"3576","officially sick"
"3577","headache headache"
"3578","happens shit"
"3579","weep weep"
"3580","ani abuse"
"3581","yawn yawn"
"3582","body aching"
"3583","buddy sorry"
"3584","dont cry"
"3585","gonna fall"
"3586","grand died"
"3587","taste bad"
"3588","driver drunk"
"3589"," explode"
"3590","absolutely horrible"
"3591","eye swollen"
"3592","Bored bored"
"3593","experience bad"
"3594","paper stupid"
"3595","Celtics lost"
"3596","valentine bloody"
"3597","ve neglected"
"3598","totally screwed"
"3599","officially broke"
"3600","hi hung"
"3601","quite sick"
"3602","gonna miss"
"3603","thru fell"
"3604","You missed"
"3605"," shake"
"3606","nadal lost"
"3607","chris miss"
"3608","that sucks"
"3609","guna miss"
"3610","absolute worst"
"3611","shitless bored"
"3612","busted myth"
"3613","falling trouble"
"3614","between stuck"
"3615","trouble falling"
"3616","brother died"
"3617","This shit"
"3618","publicity stunt"
"3619","head bad"
"3620","battery dies"
"3621","legs ache"
"3622","kinda suck"
"3623","Head ache"
"3624","noises funny"
"3625","Acck :|"
"3626","stabbing pain"
"3627","update failed"
"3628","Kinda disappointed"
"3629","horror rocky"
"3630","finally fell"
"3631","London miss"
"3632"," error"
"3633","Train delays"
"3634","ti bad"
"3635","noises loud"
"3636","loud noises"
"3637","sooooooo bored"
"3638","itchy itchy"
"3639","itchy itchy"
"3640","paint fumes"
"3641","trying hard"
"3642","huge mistake"
"3643","Splitting headache"
"3644","behind stuck"
"3645","outside ugly"
"3646","super sore"
"3647","co screwed"
"3648","Tu aches"
"3649","saturday boring"
"3650","co broke"
"3651","hubby poor"
"3652","public hate"
"3653","soo upset"
"3654","co lack"
"3655","totally lost"
"3656","so tired"
"3657","doctors hate"
"3658","seasonal allergies"
"3659","How awful"
"3660","news devastating"
"3661","nettles stinging"
"3662","stupid stupid"
"3663","Sooo sad"
"3664","huge bug"
"3665","total failure"
"3666","super jealous"
"3667"," funny"
"3668","battery dead"
"3669","co problems"
"3670"," depressing"
"3671","circles dark"
"3672","thereof lack"
"3673","colds hate"
"3674","felt sick"
"3675","low blow"
"3676","Hangovers suck"
"3677","102 fever"
"3678","reasons wrong"
"3679","apart complex"
"3680","feet poor"
"3681","seperation anxiety"
"3682","sounds bad"
"3683","quite bored"
"3684","extre disappointed"
"3685","rather bored"
"3686","d kill"
"3687","kinda depressing"
"3688","tooth pain"
"3689","Titanic died"
"3690","school miss"
"3691","Another cloudy"
"3692","soooo hard"
"3693","Feeling bad"
"3694","against grudge"
"3695","Very depressing"
"3696","tastes weird"
"3697","co shit"
"3698","fish dead"
"3699","hella mad"
"3700","sooo nervous"
"3701","everything miss"
"3702"," moan"
"3703","Been sick"
"3704","grandpa died"
"3705","suck infections"
"3706","infections suck"
"3707","103 fever"
"3708"," moan"
"3709"," missed"
"3710","People suck"
"3711"," dead"
"3712","dude sucks"
"3713","deep depression"
"3714","against lost"
"3715","pretty rubbish"
"3716","outta crap"
"3717","kid sick"
"3718","s dent"
"3719","serial killer"
"3720","sooo lonely"
"3721","freezing bloody"
"3722","VERY sad"
"3723","whoever stole"
"3724","neck pain"
"3725","lil upset"
"3726","clothes dirty"
"3727","bloody freezing"
"3728","sto ache"
"3729","ill violently"
"3730","bu lazy"
"3731"," balls"
"3732","septic tank"
"3733","In dire"
"3734","falling hate"
"3735","lazy bum"
"3736","reviews bad"
"3737","throwing hate"
"3738"," pain"
"3739","kitchen sink"
"3740","sooooo hurts"
"3741","girlfriend broke"
"3742","girl naughty"
"3743","slow damn"
"3744","awful bloody"
"3745","ve ruined"
"3746","power lose"
"3747","bloody awful"
"3748","weather crap"
"3749","stor stupid"
"3750"," killing"
"3751","co cold"
"3752","serious headache"
"3753","knee sore"
"3754","early stupidly"
"3755","slightly worried"
"3756","al impossible"
"3757","absolute agony"
"3758","soo jealous"
"3759","Sinus infection"
"3760","circle vicious"
"3761","pill allergy"
"3762"," rough"
"3763","brokeback stupid"
"3764","hell fucking"
"3765","fuk fuk"
"3766","us hate"
"3767","dryer tumble"
"3768","wants badly"
"3769","wo poor"
"3770","i sorry"
"3771","aw crap"
"3772","horrible horrible"
"3773","HUGE mistake"
"3774","Feeling sorry"
"3775","job stupid"
"3776","stu hurts"
"3777"," fail"
"3778","foot broken"
"3779","throat itchy"
"3780","together shit"
"3781","horrible horrible"
"3782","revision sucks"
"3783","fail miserably"
"3784","high miss"
"3785","total crap"
"3786","renal failure"
"3787"," aches"
"3788","battle scar"
"3789","fuk fuk"
"3790","pain worst"
"3791","sick sick"
"3792","worst pain"
"3793","Easter break"
"3794","shots hate"
"3795","projectile vomit"
"3796"," horrific"
"3797","night terrible"
"3798","terrible nightmare"
"3799","Headaches suck"
"3800","Giants lost"
"3801","Feel sorry"
"3802"," noises"
"3803","headache awful"
"3804","everyone sorry"
"3805","bugs hate"
"3806","absolutely hate"
"3807","It sucked"
"3808","both lost"
"3809","so hard"
"3810","Got headache"
"3811","awful headache"
"3812","goldfish died"
"3813","jab cancer"
"3814","flood warning"
"3815","girl dull"
"3816","weather nasty"
"3817","quality poor"
"3818","effing tired"
"3819","noise loud"
"3820","loud noise"
"3821","Tooth ache"
"3822","Aw poor"
"3823","tops tank"
"3824","death untimely"
"3825","traffic hate"
"3826","boo sorry"
"3827","unti death"
"3828"," sad"
"3829","wanna lose"
"3830","bull shit"
"3831","influence bad"
"3832","soo confused"
"3833","abs hurt"
"3834","i cry"
"3835","Oh fuck"
"3836","404 error"
"3837","lucky bastard"
"3838","absolutely exhausted"
"3839","BIG mistake"
"3840","No unfortunately"
"3841","surprise unpleasant"
"3842","fuckin hate"
"3843","outta hell"
"3844"," exhausted"
"3845","ass lame"
"3846","severely disappointed"
"3847","drea horrible"
"3848","news awful"
"3849","case severe"
"3850","buzz kill"
"3851","Being bored"
"3852","causing problems"
"3853","Feel sick"
"3854","Being sucks"
"3855","very sad"
"3856","horribly sick"
"3857","agressive passive"
"3858","Sinus infections"
"3859","i hate"
"3860","5 lost"
"3861","I miss"
"3862","pain severe"
"3863"," bruise"
"3864","severe pain"
"3865","tuesdays hate"
"3866","died pig"
"3867","chitter chatter"
"3868","pig died"
"3869","white trash"
"3870","ring fell"
"3871","sick fucking"
"3872","hi hurt"
"3873","wrist broken"
"3874","week worst"
"3875","This stinks"
"3876","cause sad"
"3877","ho hate"
"3878","finger broken"
"3879","incredibly sick"
"3880","guy creepy"
"3881","utter crap"
"3882","keeps dying"
"3883","inside dying"
"3884","eating junk"
"3885","SO hurts"
"3886","truth hurts"
"3887","headache damn"
"3888","ve worn"
"3889","zipper broke"
"3890","alseep fell"
"3891","feet ache"
"3892","energy negative"
"3893","fucking stupid"
"3894","flight delayed"
"3895","feet hurts"
"3896"," bad"
"3897","vegas miss"
"3898","e breakdown"
"3899","nail broke"
"3900","Cards lost"
"3901","hanging miss"
"3902","RIP missed"
"3903","service sucks"
"3904","ton shit"
"3905","huge bump"
"3906","tu poorly"
"3907","oil leak"
"3908","wtf wtf"
"3909","Motion sickness"
"3910","everyti crashes"
"3911","i miss"
"3912","Very dissapointed"
"3913","feets hurt"
"3914","cleaning hate"
"3915","lil sad"
"3916","boys suck"
"3917","headache monster"
"3918","lil disappointed"
"3919","Getting tired"
"3920","apart falls"
"3921","flu pig"
"3922","Panic attacks"
"3923","code error"
"3924","roo smells"
"3925","serious problem"
"3926","cold terrible"
"3927","ALL lost"
"3928"," headache"
"3929","terrible cold"
"3930","Totally missed"
"3931","gu hurt"
"3932","shades darker"
"3933","church miss"
"3934","losing slowly"
"3935","slowly losing"
"3936","biggest problem"
"3937","queen drag"
"3938","happened wtf"
"3939","gross gross"
"3940","rather sad"
"3941"," stolen"
"3942","warning frost"
"3943","trust issues"
"3944","burglar alarm"
"3945","co exhausted"
"3946","shooting pain"
"3947","frost warning"
"3948","english stupid"
"3949","sooo exhausted"
"3950","gross gross"
"3951","accident tragic"
"3952","alar smoke"
"3953","babies poor"
"3954","outside nasty"
"3955","s alarm"
"3956","totally sucked"
"3957","sunburn nasty"
"3958","followers lost"
"3959","sooo annoyed"
"3960","outside freezing"
"3961","Brokeback hated"
"3962","doggie poor"
"3963","keep breaking"
"3964","absolute crap"
"3965","NY miss"
"3966","cat scratched"
"3967","Sob sob"
"3968","tongue hurts"
"3969"," terrible"
"3970","ti terrible"
"3971","lil sick"
"3972"," miss"
"3973","biggest mistake"
"3974","degree burn"
"3975","sick worried"
"3976","sto issues"
"3977","Lauren miss"
"3978"," cruel"
"3979","cruel mistress"
"3980","ve broken"
"3981"," frustrating"
"3982","withdrawal syndrome"
"3983","accident freak"
"3984","perception hazard"
"3985","razor burn"
"3986","shopping hate"
"3987","gu sour"
"3988","per scar"
"3989","financial crisis"
"3990","copyright infringement"
"3991","worried sick"
"3992","wtf wtf"
"3993","trip guilt"
"3994","fella poor"
"3995","allergies bad"
"3996","stop hating"
"3997","frickin tired"
"3998","part sucky"
"3999","string broke"
"4000","Soooo bored"
"4001","neck ache"
"4002","d die"
"4003","tour warped"
"4004","Kobe puppet"
"4005","noses stuffy"
"4006","Kinda scared"
"4007","Hairline fracture"
"4008","sexy dirty"
"4009","horribly wrong"
"4010","tote pole"
"4011","calves hurt"
"4012","bc sad"
"4013","pain throbbing"
"4014","ears bleed"
"4015","awe poor"
"4016","throbbing pain"
"4017","night hate"
"4018","advertising false"
"4019","ankle broken"
"4020","Eddings died"
"4021","Sun burnt"
"4022","went dead"
"4023","bathroo sink"
"4024","sitting bored"
"4025","sooooooo slow"
"4026","rather depressing"
"4027","kinda sad"
"4028","beyond tired"
"4029","sounds scary"
"4030","runs slower"
"4031","seriously wrong"
"4032","shoulders burnt"
"4033","start bad"
"4034","totally confused"
"4035","iPhone crashes"
"4036"," critical"
"4037","glasses broke"
"4038","Soooooo tired"
"4039"," :@"
"4040","end abrupt"
"4041","decision bad"
"4042","i miss"
"4043","keeps biting"
"4044","techinical difficulties"
"4045","They suck"
"4046","slowly dying"
"4047","elbow hurts"
"4048","foot sore"
"4049","card fraud"
"4050","gettin worse"
"4051","feels awful"
"4052","part hard"
"4053","girl damn"
"4054","dying slowly"
"4055","wit fuck"
"4056","Really misses"
"4057"," suck"
"4058","leg sore"
"4059","everything hate"
"4060","nights lonely"
"4061","lactose intolerance"
"4062","terribly wrong"
"4063","wrong terribly"
"4064","econo downturn"
"4065","hearing noises"
"4066","sign bad"
"4067","sooo disappointed"
"4068","boys stupid"
"4069","v sad"
"4070","headphones broke"
"4071","english fail"
"4072","sto hates"
"4073","shit sucks"
"4074","fish tanks"
"4075","part bad"
"4076","sick terribly"
"4077","Too cold"
"4078","country wrong"
"4079","cat killed"
"4080","terribly sick"
"4081","school stupid"
"4082","fever blister"
"4083","blister fever"
"4084","state sad"
"4085","Biggest headache"
"4086","wa fever"
"4087","server issues"
